,dias_cursado,semestre_año,nota_final_materia,fecha_mesa_epoch,nombre_examen,nota_parcial,id_tarea,nombre_de_la_tarea,fecha_creacion_tarea,vencimiento_tarea,apertura_tarea,cierre_tarea,puntos_posibles,nombre_entrega,id_entrega_tarea,puntaje,formato_entrega,fecha_entrega,fecha_correccion,id_usuario,id_curso,nombre_curso,legajo
278,34,1-2022,9.0,2022-05-30,SEGUNDO PARCIAL(20),9.0,207561.0,Actividad Práctica Integradora 3 [API3],2022-03-30,2022-05-30,2022-03-21,2022-05-30,100.0,Trabajo Práctico 3 [TP3],278bd9e0-b97b-47d2-a097-7803c2edcb6c,80.0,online_upload,2022-05-30,2022-06-09,eba18073-be3e-462a-9ef9-916e1d4ee81a,2b14592a-d74c-4443-914d-fa4dcb4da9da,Programmable methodical hub,762674FYJ
279,34,1-2022,9.0,2022-05-30,SEGUNDO PARCIAL(20),9.0,206820.0,Actividad Práctica Integradora 3 [API3],2022-03-21,2022-05-30,2022-03-21,2022-05-30,100.0,Trabajo Práctico 3 [TP3],278bd9e0-b97b-47d2-a097-7803c2edcb6c,80.0,online_upload,2022-05-30,2022-06-09,eba18073-be3e-462a-9ef9-916e1d4ee81a,2b14592a-d74c-4443-914d-fa4dcb4da9da,Programmable methodical hub,762674FYJ
280,38,01-2022,7.0,2022-02-21,SEGUNDO PARCIAL(20),8.0,192629.0,Actividad Práctica Integradora 3 [API3],2022-01-24,2022-02-21,2022-01-31,2022-02-21,100.0,Trabajo Práctico 3 [TP3],1ecf6c6a-97b2-43a1-80be-76bb95eed8da,95.0,online_upload,2022-02-20,2022-03-04,ded91bdd-7998-4502-b2cb-9b0081eb3464,376b6acf-e1c2-4288-bdc5-b7695a52337b,Proactive leadingedge open system,614851WSA
281,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199321.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],9cf9a338-ee54-4d8a-a032-d315087095a3,85.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
282,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199321.0,Trabajo Práctico 1 [TP1],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],7ce30fdd-84f2-4e3a-bf8b-967dee46c324,100.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
283,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199298.0,Trabajo Práctico 2 [TP2],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],9cf9a338-ee54-4d8a-a032-d315087095a3,85.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
284,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199298.0,Trabajo Práctico 2 [TP2],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],7ce30fdd-84f2-4e3a-bf8b-967dee46c324,100.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
285,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199311.0,Trabajo Práctico 3 [TP3],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],9cf9a338-ee54-4d8a-a032-d315087095a3,85.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
286,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199311.0,Trabajo Práctico 3 [TP3],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 4 [TP4],7ce30fdd-84f2-4e3a-bf8b-967dee46c324,100.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
287,57,1-2022,8.0,2022-07-05,RECUPERATORIO SEGUNDO PARCIAL(20),7.0,199333.0,Trabajo Práctico 4 [TP4],2022-02-24,2022-07-05,2022-03-21,2022-07-05,100.0,Trabajo Práctico 3 [TP3],9cf9a338-ee54-4d8a-a032-d315087095a3,85.0,online_quiz,2022-07-04,2022-07-04,7c03e403-9805-4803-b9ea-069d83c4767b,3fba3577-b5e7-40a6-8bcf-883555a3eaed,Team-oriented executive leverage,412892JKG
